global_index,zone,zone_mission,required_class,gate_required,bow1_dmg,xbow1_dmg,spear1_dmg,shuriken1_dmg,boom1_dmg,starter_passes_gate,notes
0,1,1,Bow,0.1,35,22,180,25,80,YES,"Curve multiplier=0.01; effectively ungated"
1,1,2,Shuriken,7,35,22,180,25,80,YES,
2,1,3,Bow,15,35,22,180,25,80,YES,
3,1,4,Shuriken,11,35,22,180,25,80,YES,
4,1,5,Bow,20,35,22,180,25,80,YES,
5,1,6,Shuriken,15,35,22,180,25,80,YES,
6,1,7,Bow,25,35,22,180,25,80,YES,
7,2,1,Spear,41,n/a,n/a,180,n/a,n/a,YES,"Spear1(180) vs gate(41): 4.4x margin"
8,2,2,Shuriken,21,n/a,n/a,n/a,25,n/a,YES,
9,2,3,Bow,32.5,35,n/a,n/a,n/a,n/a,YES,"Bow1(35) vs gate(32.5): 1.08x — borderline pass"
10,2,4,Spear,50,n/a,n/a,180,n/a,n/a,YES,
11,2,5,Shuriken,27,n/a,n/a,n/a,25,n/a,NO,"FIRST BLOCK: Shuriken1(25) < gate(27). Needs 2 upgrades"
12,2,6,Bow,40,35,n/a,n/a,n/a,n/a,NO,"FIRST BOW BLOCK: Bow1(35) < gate(40). Needs 3 upgrades"
13,2,7,Spear,59,n/a,n/a,180,n/a,n/a,YES,
14,2,8,Shuriken,33,n/a,n/a,n/a,25,n/a,NO,"Shuriken1(25) < gate(33). Needs 8 upgrades from base"
15,3,1,Boomerang,42,n/a,n/a,n/a,n/a,80,YES,"Boom1(80) vs gate(42): 1.9x margin"
16,3,2,Bow,50,35,n/a,n/a,n/a,n/a,NO,"Bow1(35) < gate(50). Needs 8 upgrades from base"
17,3,3,Shuriken,39,n/a,n/a,n/a,25,n/a,NO,"Shuriken1(25) < gate(39). Needs full Shuriken1 upgrade+Shuriken2"
18,3,4,Spear,74,n/a,n/a,180,n/a,n/a,YES,"Spear1(180) vs gate(74): 2.4x — never blocked"
19,3,5,Boomerang,50,n/a,n/a,n/a,n/a,80,YES,
20,3,6,Bow,60,35,n/a,n/a,n/a,n/a,NO,"Bow1(35) < gate(60). Even maxed Bow1(55) fails. Requires Bow2"
21,3,7,Shuriken,47,n/a,n/a,n/a,25,n/a,NO,"Shuriken1(25) < gate(47). Requires Shuriken2+"
22,3,8,Spear,86,n/a,n/a,180,n/a,n/a,YES,"Spear1(180) vs gate(86): 2.09x — NEVER blocked in entire game"
