mission_type,global_index,zone,zone_mission,class,cash_reward,token_reward,token_class,cumulative_cash,cumulative_class_tokens,cumulative_all_tokens,notes
Campaign,0,1,1,Bow,100,2,Bow,100,2,0,
Campaign,1,1,2,Shuriken,110,4,Shuriken,210,2+4s,0,"s=Shuriken tokens"
Campaign,2,1,3,Bow,120,6,Bow,330,8b+4s,0,
Campaign,3,1,4,Shuriken,130,8,Shuriken,460,8b+12s,0,
Campaign,4,1,5,Bow,140,10,Bow,600,18b+12s,0,
Campaign,5,1,6,Shuriken,150,12,Shuriken,750,18b+24s,0,
Campaign,6,1,7,Bow,160,14,Bow,910,32b+24s,0,"End of Zone 1. 32 BowTok earned. Bow1 max cost=14.5 tok"
Campaign,7,2,1,Spear,170,16,Spear,1080,32b+24s+16sp,0,
Campaign,8,2,2,Shuriken,180,18,Shuriken,1260,32b+42s+16sp,0,
Campaign,9,2,3,Bow,190,20,Bow,1450,52b+42s+16sp,0,
Campaign,10,2,4,Spear,200,22,Spear,1650,52b+42s+38sp,0,
Campaign,11,2,5,Shuriken,210,24,Shuriken,1860,52b+66s+38sp,0,
Campaign,12,2,6,Bow,220,26,Bow,2080,78b+66s+38sp,0,
Campaign,13,2,7,Spear,230,28,Spear,2310,78b+66s+66sp,0,
Campaign,14,2,8,Shuriken,240,30,Shuriken,2550,78b+96s+66sp,0,"End of Zone 2"
Campaign,15,3,1,Boomerang,250,32,Boomerang,2800,78b+96s+66sp+32bm,0,
Campaign,16,3,2,Bow,260,34,Bow,3060,112b+96s+66sp+32bm,0,
Campaign,17,3,3,Shuriken,270,36,Shuriken,3330,112b+132s+66sp+32bm,0,
Campaign,18,3,4,Spear,280,38,Spear,3610,112b+132s+104sp+32bm,0,
Campaign,19,3,5,Boomerang,290,40,Boomerang,3900,112b+132s+104sp+72bm,0,
Campaign,20,3,6,Bow,300,42,Bow,4200,154b+132s+104sp+72bm,0,
Campaign,21,3,7,Shuriken,310,44,Shuriken,4510,154b+176s+104sp+72bm,0,
Campaign,22,3,8,Spear,320,46,Spear,4830,154b+176s+150sp+72bm,0,"End of Zone 3"
Sniper,0,1,1,Crossbow,200,3,Crossbow,+200,0,0,"Crossbow tokens only; sniper index=completionCount"
Sniper,1,1,2,Crossbow,300,5,Crossbow,+300,0,0,
Sniper,2,2,1,Crossbow,400,7,Crossbow,+400,0,0,
Sniper,3,2,2,Crossbow,500,9,Crossbow,+500,0,0,
Contracts,0,any,any,AllClasses,50,5,All,+50,+1 each,+5,"All 5 classes each get +1 token"
Contracts,1,any,any,AllClasses,100,10,All,+100,+2 each,+10,
Contracts,5,any,any,AllClasses,300,30,All,+300,+6 each,+30,"6 contract completions: +36 total tokens spread across all classes"
Boss,0,1,boss,Crossbow,400,10,All,+400,+2 each,+10,
Boss,1,2,boss,Crossbow,500,20,All,+500,+4 each,+20,
