weapon,class,base_dmg,max_dmg,dmg_gain,total_cash_cost,total_token_cost,first_gate_blocked,gate_dmg_required,cash_efficiency_dmg_per_100_cash,token_efficiency_dmg_per_token,gate_unlock_cost_cash,gate_unlock_cost_tokens,notes
Bow WeaponDef 1,Bow,35,55,20,680,14.5,g12,40,2.94,1.38,162,3,"3 upgrades to clear g12(40)"
Bow WeaponDef 2,Bow,55,80,25,1282.5,159.5,g16,50,1.95,0.16,0,0,"Purchased at g12 unlock. Clears g16-g20 at L0"
Bow WeaponDef 3,Bow,80,120,40,1700,236.5,none,0,2.35,0.17,0,0,"Purchase alone clears all remaining bow gates"
Crossbow WeaponDef 1,Crossbow,22,37,15,680,14.5,none (no Campaign),0,2.21,1.03,0,0,"Crossbow never assigned to Campaign missions"
Crossbow WeaponDef 2,Crossbow,37,55,18,1282.5,148.5,none (no Campaign),0,1.40,0.12,0,0,
Spear WeaponDef 1,Spear,180,260,80,680,14.5,none,0,11.76,5.52,0,0,"BASE DAMAGE exceeds every Spear gate — upgrades purely cosmetic for gating"
Spear WeaponDef 2,Spear,260,380,120,1700,263,none,0,7.06,0.46,0,0,
Spear WeaponDef 3,Spear,380,560,180,1282.5,154,none,0,14.05,1.17,0,0,
Shuriken WeaponDef 1,Shuriken,25,35,10,680,14.5,g11,27,1.47,0.69,104,2,"2 upgrades (104 cash) to clear g11. Cheapest block resolution"
Shuriken WeaponDef 2,Shuriken,35,50,15,1282.5,202.5,g17,39,1.17,0.07,0,0,"Purchase alone clears g17-g21 only if have tokens"
Shuriken WeaponDef 3,Shuriken,50,75,25,1700,315,g21,47,1.47,0.08,0,0,
Boomerang WeaponDef 1,Boomerang,80,100,20,680,14.5,none,0,2.94,1.38,0,0,"BASE DAMAGE exceeds every Boomerang gate"
Boomerang WeaponDef 2,Boomerang,100,150,50,1070,112,none,0,4.67,0.45,0,0,
Boomerang WeaponDef 3,Boomerang,120,175,55,1282.5,175.5,none,0,4.29,0.31,0,0,
