weapon,class,upgrade_level,damage,unlock_mission_index,cash_cost_to_reach_level,token_cost_to_reach_level,notes
Bow WeaponDef 1,Bow,0,35,0,0,0,Starter
Bow WeaponDef 1,Bow,1,37,0,50,1,
Bow WeaponDef 1,Bow,2,39,0,104,2,
Bow WeaponDef 1,Bow,3,41,0,162,3,"Asset confirms: snapshot damage=41 at level 3"
Bow WeaponDef 1,Bow,4,43,0,224,4,
Bow WeaponDef 1,Bow,5,45,0,290,5,
Bow WeaponDef 1,Bow,6,47,0,360,6,
Bow WeaponDef 1,Bow,7,49,0,434,7,
Bow WeaponDef 1,Bow,8,51,0,512,8,
Bow WeaponDef 1,Bow,9,53,0,594,9,
Bow WeaponDef 1,Bow,10,55,0,680,14.5,"Max damage. Total: 680 cash / 14.5 tokens"
Bow WeaponDef 2,Bow,0,55,12,600,14,"Purchase cost: 600 cash / 14 tokens"
Bow WeaponDef 2,Bow,5,67.5,12,600+557,14+73,
Bow WeaponDef 2,Bow,10,80,12,600+1282.5,14+159.5,
Bow WeaponDef 3,Bow,0,80,18,850,20,"Purchase cost: 850 cash / 20 tokens"
Bow WeaponDef 3,Bow,10,120,18,850+1700,20+236.5,
Crossbow WeaponDef 1,Crossbow,0,22,0,0,0,Starter
Crossbow WeaponDef 1,Crossbow,5,29.5,0,290,5,
Crossbow WeaponDef 1,Crossbow,10,37,0,680,14.5,
Crossbow WeaponDef 2,Crossbow,0,37,10,550,12,
Crossbow WeaponDef 2,Crossbow,10,55,10,550+1282.5,12+148.5,
Spear WeaponDef 1,Spear,0,180,0,0,0,"Starter. Passes ALL Spear gates at base level"
Spear WeaponDef 1,Spear,5,220,0,290,5,
Spear WeaponDef 1,Spear,10,260,0,680,14.5,"Max gate in game=86. Ratio at L0: 2.09x"
Spear WeaponDef 2,Spear,0,260,23,1000,25,
Spear WeaponDef 2,Spear,10,380,23,1000+1700,25+263,
Shuriken WeaponDef 1,Shuriken,0,25,0,0,0,Starter
Shuriken WeaponDef 1,Shuriken,2,27,0,104,2,"Min to pass g11 gate(27)"
Shuriken WeaponDef 1,Shuriken,5,30,0,290,5,
Shuriken WeaponDef 1,Shuriken,8,33,0,512,8,"Min to pass g14 gate(33)"
Shuriken WeaponDef 1,Shuriken,10,35,0,680,14.5,
Shuriken WeaponDef 2,Shuriken,0,35,13,650,15,
Shuriken WeaponDef 2,Shuriken,4,41,13,650+278,15+66,"Min to pass g17 gate(39)"
Shuriken WeaponDef 2,Shuriken,10,50,13,650+1282.5,15+202.5,
Boomerang WeaponDef 1,Boomerang,0,80,0,0,0,"Starter. Passes ALL Boomerang gates at base"
Boomerang WeaponDef 1,Boomerang,5,90,0,290,5,
Boomerang WeaponDef 1,Boomerang,10,100,0,680,14.5,"Max Boomerang gate=50. Ratio: 1.6x"
