global_index,zone,zone_mission,required_class,new_gate,old_gate,bow1_dmg_l0,spear1_dmg_l0,shuriken1_dmg_l0,boom1_dmg_l0,starter_passes,notes
0,1,1,Bow,0.25,0.10,35,65,25,55,YES,"Curve mult=0.01; effectively ungated"
1,1,2,Shuriken,12,7,,,25,,YES,
2,1,3,Bow,29,15,35,,,YES,
3,1,4,Shuriken,16,11,,,25,,YES,
4,1,5,Bow,33,20,35,,,YES,
5,1,6,Shuriken,20,15,,,25,,YES,
6,1,7,Bow,37,25,35,,,NO,"TEACHING GATE: Bow1(35)<37 — needs L1 (1 upgrade, 50 cash, 1 tok)"
7,2,1,Spear,55,41,,65,,,YES,"First Spear mission free: Spear1(65)>55"
8,2,2,Shuriken,26,21,,,25,,NO,"Shuriken1(25)<26 — needs L1 (50 cash, 1 tok)"
9,2,3,Bow,43,32.5,35,,,YES/NO,"Bow1 at L1+ (37) < 43 — needs L4 upgrade total"
10,2,4,Spear,70,50,,65,,,NO,"Spear1(65)<70 — needs L1 (70.5 damage)"
11,2,5,Shuriken,32,27,,,25,,NO,"Needs Shuriken1 L7=32"
12,2,6,Bow,49,40,35,,,NO,"Needs Bow1 L7=49"
13,2,7,Spear,85,59,,65,,,NO,"Needs Spear1 L4=87"
14,2,8,Shuriken,38,33,,,25,,NO,"Shuriken1 max=35 < 38 — forces Shuriken2 purchase"
15,3,1,Boomerang,52.5,42,,,,55,NO,"Boom1(55)>52.5 — just passes at base (0.5 margin)"
16,3,2,Bow,57,50,35,,,NO,"Bow1 max=55 < 57 — forces Bow2 purchase"
17,3,3,Shuriken,44,39,,,25,,NO,"Needs Shuriken2 L6=44"
18,3,4,Spear,110,74,,65,,,NO,"Needs Spear1 L10 (max=110 — exact)"
19,3,5,Boomerang,62.5,50,,,,55,NO,"Boom1(55)<62.5 — needs L3=64"
20,3,6,Bow,65,60,35,,,NO,"Bow2 needed — Bow2 L4=65"
21,3,7,Shuriken,52,47,,,25,,NO,"Shuriken2 max=50 < 52 — needs Shuriken3 L1=52.5"
22,3,8,Spear,130,86,,65,,,NO,"Spear1 max=110 < 130 — forces Spear2 purchase"
