mission_type,index,class,cash_reward,class_token_reward,token_class,cumul_cash_from_missions,cumul_class_tokens,notes
Campaign,0,Bow,70,1,Bow,70,1+1start=2,
Campaign,1,Shuriken,77,1,Shuriken,147,2s+1b,
Campaign,2,Bow,84,1,Bow,231,3b+2s,
Campaign,3,Shuriken,91,1,Shuriken,322,3b+3s,
Campaign,4,Bow,98,1,Bow,420,4b+3s,
Campaign,5,Shuriken,105,1,Shuriken,525,4b+4s,"End of Zone 1 (excluding g6 reward)"
Campaign,6,Bow,112,1,Bow,637,5b+4s,"g6 TEACHING GATE reward — 5 BowTok total"
Campaign,7,Spear,119,1,Spear,756,5b+4s+2sp,
Campaign,8,Shuriken,126,1,Shuriken,882,5b+5s+2sp,
Campaign,9,Bow,133,1,Bow,1015,6b+5s+2sp,
Campaign,10,Spear,140,1,Spear,1155,6b+5s+3sp,
Campaign,11,Shuriken,147,1,Shuriken,1302,6b+6s+3sp,
Campaign,12,Bow,154,1,Bow,1456,7b+6s+3sp,
Campaign,13,Spear,161,1,Spear,1617,7b+6s+4sp,
Campaign,14,Shuriken,168,1,Shuriken,1785,7b+7s+4sp,"End Zone 2"
Campaign,15,Boomerang,175,1,Boomerang,1960,7b+7s+4sp+2bm,
Campaign,16,Bow,182,1,Bow,2142,8b+7s+4sp+2bm,
Campaign,17,Shuriken,189,1,Shuriken,2331,8b+8s+4sp+2bm,
Campaign,18,Spear,196,1,Spear,2527,8b+8s+5sp+2bm,
Campaign,19,Boomerang,203,1,Boomerang,2730,8b+8s+5sp+3bm,
Campaign,20,Bow,210,1,Bow,2940,9b+8s+5sp+3bm,
Campaign,21,Shuriken,217,1,Shuriken,3157,9b+9s+5sp+3bm,
Campaign,22,Spear,224,1,Spear,3381,9b+9s+6sp+3bm,"End Zone 3"
Contracts,0,AllClasses,40,3,All,+40,+3 each,First Contracts: 3 tokens every class
Contracts,1,AllClasses,55,4,All,+55,+4 each,
Contracts,5,AllClasses,115,8,All,+115,+8 each,
Sniper,0,Crossbow,150,2,Crossbow,+150,+2 xbow,Sniper index=sniperCompletedIndex
Sniper,1,Crossbow,200,3,Crossbow,+200,+3 xbow,
Sniper,3,Crossbow,300,5,Crossbow,+300,+5 xbow,
Boss,0,AllClasses,300,3,All,+300,+3 each,Zone 1 Boss
Boss,1,AllClasses,400,5,All,+400,+5 each,Zone 2 Boss
